,05M_30D_10h,05M_30D_11h,05M_30D_12h,05M_30D_13h,05M_30D_14h,05M_30D_15h,05M_30D_16h,05M_30D_17h,05M_30D_18h,05M_30D_19h,05M_30D_20h,05M_30D_21h,05M_30D_22h,05M_30D_23h,05M_31D_00h,05M_31D_01h,05M_31D_02h,05M_31D_03h,05M_31D_04h,05M_31D_05h,05M_31D_06h,05M_31D_07h,05M_31D_08h,05M_31D_09h,05M_31D_10h,05M_31D_11h,05M_31D_12h,05M_31D_13h,05M_31D_14h,05M_31D_15h,05M_31D_16h,05M_31D_17h,05M_31D_18h,05M_31D_19h,05M_31D_20h,05M_31D_21h,05M_31D_22h,05M_31D_23h,06M_01D_00h,06M_01D_01h,06M_01D_02h,06M_01D_03h,06M_01D_04h,06M_01D_05h,06M_01D_06h,06M_01D_07h,06M_01D_08h,06M_01D_09h,06M_01D_10h,06M_01D_11h,06M_01D_12h,06M_01D_13h,06M_01D_14h,06M_01D_15h,06M_01D_16h,06M_01D_17h,06M_01D_18h,06M_01D_19h,06M_01D_20h,06M_01D_21h,06M_01D_22h,06M_01D_23h,06M_02D_00h,06M_02D_01h,06M_02D_02h,06M_02D_03h,06M_02D_04h,06M_02D_05h,06M_02D_06h,06M_02D_07h,06M_02D_08h,06M_02D_09h,06M_02D_10h,06M_02D_11h,06M_02D_12h,06M_02D_13h,06M_02D_14h,06M_02D_15h,06M_02D_16h,06M_02D_17h,06M_02D_18h,06M_02D_19h,06M_02D_20h,06M_02D_21h,06M_02D_22h,06M_02D_23h,06M_03D_00h,06M_03D_01h,06M_03D_02h,06M_03D_03h,06M_03D_04h,06M_03D_05h,06M_03D_06h,06M_03D_07h,06M_03D_08h,06M_03D_09h,06M_03D_10h,06M_03D_11h,06M_03D_12h,06M_03D_13h,06M_03D_14h,06M_03D_15h,06M_03D_16h,06M_03D_17h,06M_03D_18h,06M_03D_19h,06M_03D_20h,06M_03D_21h,06M_03D_22h,06M_03D_23h,06M_04D_00h,06M_04D_01h,06M_04D_02h,06M_04D_03h,06M_04D_04h,06M_04D_05h,06M_04D_06h,06M_04D_07h,06M_04D_08h,06M_04D_09h,06M_04D_10h,06M_04D_11h,06M_04D_12h,06M_04D_13h,06M_04D_14h,06M_04D_15h,06M_04D_16h,06M_04D_17h,06M_04D_18h,06M_04D_19h,06M_04D_20h,06M_04D_21h,06M_04D_22h,06M_04D_23h,06M_05D_00h,06M_05D_01h,06M_05D_02h,06M_05D_03h,06M_05D_04h,06M_05D_05h,06M_05D_06h,06M_05D_07h,06M_05D_08h,06M_05D_09h,06M_05D_10h,06M_05D_11h,06M_05D_12h,06M_05D_13h,06M_05D_14h,06M_05D_15h,06M_05D_16h,06M_05D_17h,06M_05D_18h,06M_05D_19h,06M_05D_20h,06M_05D_21h,06M_05D_22h,06M_05D_23h,06M_06D_00h,06M_06D_01h,06M_06D_02h,06M_06D_03h,06M_06D_04h,06M_06D_05h,06M_06D_06h,06M_06D_07h,06M_06D_08h,06M_06D_09h,06M_06D_10h,06M_06D_11h,06M_06D_12h,06M_06D_13h,06M_06D_14h,06M_06D_15h,06M_06D_16h,06M_06D_17h,06M_06D_18h,06M_06D_19h,06M_06D_20h,06M_06D_21h,06M_06D_22h,06M_06D_23h,06M_07D_00h,06M_07D_01h,06M_07D_02h,06M_07D_03h,06M_07D_04h,06M_07D_05h,06M_07D_06h,06M_07D_07h,06M_07D_08h,06M_07D_09h,06M_07D_10h,06M_07D_11h,06M_07D_12h,06M_07D_13h,06M_07D_14h,06M_07D_15h,06M_07D_16h,06M_07D_17h,06M_07D_18h,06M_07D_19h,06M_07D_20h,06M_07D_21h,06M_07D_22h,06M_07D_23h,06M_08D_00h,06M_08D_01h,06M_08D_02h,06M_08D_03h,06M_08D_04h,06M_08D_05h,06M_08D_06h,06M_08D_07h,06M_08D_08h,06M_08D_09h,06M_08D_10h,06M_08D_11h,06M_08D_12h,06M_08D_13h,06M_08D_14h,06M_08D_15h,06M_08D_16h,06M_08D_17h,06M_08D_18h,06M_08D_19h,06M_08D_20h,06M_08D_21h,06M_08D_22h,06M_08D_23h,06M_09D_00h,06M_09D_01h,06M_09D_02h,06M_09D_03h,06M_09D_04h,06M_09D_05h,06M_09D_06h,06M_09D_07h,06M_09D_08h,06M_09D_09h,06M_09D_10h,06M_09D_11h,06M_09D_12h,06M_09D_13h,06M_09D_14h,06M_09D_15h,06M_09D_16h,06M_09D_17h,06M_09D_18h,06M_09D_19h,06M_09D_20h,06M_09D_21h,06M_09D_22h,06M_09D_23h,06M_10D_00h,06M_10D_01h,06M_10D_02h,06M_10D_03h,06M_10D_04h,06M_10D_05h,06M_10D_06h,06M_10D_07h,06M_10D_08h,06M_10D_09h,06M_10D_10h,06M_10D_11h,06M_10D_12h,06M_10D_13h,06M_10D_14h,06M_10D_15h,06M_10D_16h,06M_10D_17h,06M_10D_18h,06M_10D_19h,06M_10D_20h,06M_10D_21h,06M_10D_22h,06M_10D_23h,06M_11D_00h,06M_11D_01h,06M_11D_02h,06M_11D_03h,06M_11D_04h,06M_11D_05h,06M_11D_06h,06M_11D_07h,06M_11D_08h,06M_11D_09h,06M_11D_10h,06M_11D_11h,06M_11D_12h,06M_11D_13h,06M_11D_14h,06M_11D_15h,06M_11D_16h,06M_11D_17h,06M_11D_18h,06M_11D_19h,06M_11D_20h,06M_11D_21h,06M_11D_22h,06M_11D_23h,06M_12D_00h,06M_12D_01h,06M_12D_02h,06M_12D_03h,06M_12D_04h,06M_12D_05h,06M_12D_06h,06M_12D_07h
cam_17202339,0,14,2,320,432,57,0,125,75,3941,7596,9489,10550,10876,13009,2544,2,540,4863,2523,0,0,0,135,No video,0,0,134,0,461,0,2,3292,40,4998,3691,6596,5523,10575,9758,1256,1599,3579,4179,0,102,0,91,437,No video,No video,0,528,46,16,15,4476,6846,5945,4936,6957,5666,2495,611,3039,1168,4253,4867,0,0,112,0,0,7,0,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,48,0,70,0,0,179,0,147,254,43,573,363,375,1500,996,414,0,254,261,27,15,591,85,70,No video,No video,No video,1433,524,485,0,0,70,272,38,385,0,1056,538,1508,849,64,1254,51,0,169,456,0,280,0,2,544,281,0,2,151,0,69,0,734,255,31,196,1465,1440,853,102,37,959,44,No video,No video,No video,No video,4,64,0,15,0,37,0,291,0,0,30,34,22,215,284,541,22,149,393,127,63,89,148,0,No video,0,0,467,0,0,0,4,0,610,43,61,33,278,88,103,126,149,38,256,No video,No video,No video,No video,No video,No video,No video,4,50,0,No video,1,1,0,0,166,0,9,55,69,236,38,112,15,14,1,15,2,12,5,0,186,0,9,0,0,370,1,0,0,2,0,2,51,9,15,0,1,No video,No video,0,0,0,0,0,0,0,1,0,0,1,0,0,0,32,1,0,0,15,15,0,227,3,No video,No video,0,0,0,45,111,0,0,0,2,0,13,18,0,0,0,0,1,0,60,7,31
cam_17202341,58,9,0,63,11,15,126,0,5072,695,4586,5188,3458,5420,267,520,43,763,2025,4709,16,0,33,433,No video,20,46,267,0,145,0,4,1221,779,2915,3141,885,2589,2784,1546,122,937,1461,3148,993,368,0,0,17,No video,No video,872,0,0,119,2,383,2789,770,3601,4100,603,1647,3,1749,874,2632,2101,36,0,89,0,0,0,677,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,232,0,1,4,423,0,2,38,378,167,341,1106,325,2347,485,630,580,127,1027,731,13,439,467,33,No video,No video,No video,1158,557,265,76,0,9,116,0,174,176,87,769,144,460,29,963,8,3,0,296,46,60,0,228,15,14,0,34,2,570,0,354,320,277,0,100,773,390,181,771,108,55,88,No video,No video,No video,No video,12,10,0,8,0,2,29,4,0,89,0,5,0,149,437,316,255,168,250,0,15,0,161,0,No video,0,0,133,168,0,6,0,7,4,0,104,26,45,546,101,449,46,29,54,No video,No video,No video,No video,No video,No video,No video,7,0,0,5,0,0,175,4,34,112,0,53,117,53,382,66,197,45,2,0,2,36,0,9,170,0,0,33,110,0,162,0,0,15,0,230,198,0,404,5,16,No video,No video,82,18,9,0,25,0,0,0,0,0,298,8,3,22,0,0,12,63,248,210,112,0,90,No video,No video,3,331,70,0,15,0,0,0,10,392,0,11,4,8,0,0,2,0,361,179,0
cam_17202342,13,58,1015,276,318,50,0,58,187,745,2401,1969,3982,4226,2624,2759,1144,1874,2118,2967,362,503,0,134,No video,101,2276,0,55,613,74,0,126,1203,3270,4553,3314,2898,1796,3499,2914,1153,820,3444,1998,77,710,0,0,No video,No video,0,19,244,98,185,1947,859,3579,3020,4422,3485,1911,1852,905,1915,2291,3367,1242,0,1070,18,285,375,108,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,612,676,335,32,70,138,229,499,582,259,627,688,1241,1604,1979,305,1785,1744,1404,2875,744,389,1703,34,No video,No video,No video,3538,1023,111,5,298,0,272,0,102,329,339,669,1873,1688,1382,518,416,30,499,731,272,132,97,0,138,0,916,66,399,0,0,16,0,241,1,788,1817,1353,1806,969,295,1108,91,No video,No video,No video,No video,11,133,0,62,54,62,205,0,106,82,4,13,70,7,1052,166,258,448,249,180,113,12,508,0,No video,0,595,64,7,0,14,133,409,0,59,102,6,1149,37,707,290,169,279,317,No video,No video,No video,No video,No video,No video,No video,6,0,185,45,334,144,156,0,14,15,416,12,10,128,222,652,1,223,1107,86,22,20,61,57,277,406,859,21,37,46,0,302,3,85,0,0,185,0,137,128,105,No video,No video,539,0,0,45,4,630,168,147,540,8,722,9,52,113,472,0,8,34,0,109,55,82,310,No video,No video,608,37,13,65,133,45,873,191,128,129,613,1,1,260,0,136,26,65,81,90,60
cam_17202345,0,0,121,4,0,173,0,0,2292,1557,5225,5694,5242,4682,3601,10287,265,1769,3009,2768,85,81,83,0,No video,0,50,291,0,108,0,0,595,3649,6074,4751,4489,5209,4963,8522,491,648,3730,5253,2475,0,111,0,0,No video,No video,0,0,0,194,0,2717,4341,4202,4639,4223,3311,4278,1,144,3282,5266,5944,100,0,0,0,159,23,0,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,65,6,0,0,0,0,0,57,0,5,203,152,328,462,842,632,777,119,282,0,266,0,109,0,No video,No video,No video,2933,348,21,0,591,0,36,0,0,93,101,660,876,885,1016,710,251,165,299,0,553,0,0,182,0,31,0,310,469,0,16,218,16,0,658,3,468,1324,1432,1329,1090,750,1,No video,No video,No video,No video,0,12,523,0,0,12,11,615,116,0,10,4,161,0,209,1492,1508,1463,904,46,464,941,0,0,No video,23,363,690,0,0,0,0,153,1198,377,0,6,41,19,293,1518,1489,No video,No video,No video,No video,No video,No video,No video,No video,No video,0,25,514,353,0,106,27,0,0,27,7,504,0,0,546,227,1011,432,72,30,56,1099,370,0,0,47,0,64,0,1741,817,0,634,0,24,210,245,46,145,41,1624,No video,No video,313,606,0,0,66,0,162,759,0,19,0,1134,771,0,0,179,10,0,11,0,0,18,0,No video,No video,53,74,923,0,0,1,76,16,1722,875,0,45,23,777,99,18,0,252,18,0,0
cam_17202346,23,1,238,105,0,789,0,717,2203,1690,5059,3059,5296,3615,5500,1870,114,92,659,2750,548,486,0,0,No video,0,0,235,0,184,183,0,10,1643,3037,3936,3825,3583,5355,3162,52,313,3804,2633,2410,0,179,0,11,No video,No video,0,0,344,0,102,2474,4470,4925,2777,4421,6728,6877,804,746,3338,3142,3655,38,0,30,68,0,0,0,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,6,162,0,0,0,34,2,68,126,271,498,454,625,1106,1405,639,569,1010,16,1181,69,306,0,436,No video,No video,No video,6465,6104,1183,1055,441,96,1288,315,33,676,1214,4051,2043,2919,3569,2558,1922,1925,1191,45,703,606,57,164,36,1061,1668,1,13,880,0,357,1733,203,2763,2058,2238,3825,2817,3312,2171,2738,812,No video,No video,No video,No video,0,90,1052,433,0,9,522,11451,66286,35167,23294,23630,3131,5583,2235,2120,2640,3808,2111,1836,142,2208,1474,69,No video,20,0,1451,19740,18185,31,102,1879,120,639,1062,58,93,612,No video,2874,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,51,482,0,2048,1972,159,375,6,59,9,468,202,28,121,1416,1464,2028,730,1126,4068,1301,1003,823,2625,113,468,1608,5887,659,3452,1623,3,12,763,0,69,42,24,231,1520,98,No video,No video,1025,51,1,818,4,13,205,8,59,930,2233,272,0,12666,5938,344,56,206,328,286,79,1024,1807,No video,No video,235,602,2730,20,948,76,760,789,201,116,1504,1873,1046,145,16,117,59,14447,0,15,38
cam_17202338,1147,0,2,257,68,0,24,134,5034,1737,4503,4165,5128,4655,6883,13086,4,3517,4378,4773,1239,0,0,897,No video,95,4,0,63,0,1,1743,203,3582,4127,4818,4220,5111,8754,5201,742,1388,2688,4637,3735,136,441,109,0,No video,No video,0,10,5,3,5872,3841,5342,4727,3390,3557,8572,10010,2365,4009,2679,4168,4750,1276,88,135,321,614,0,93,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,26,5,13,0,15,1320,0,65,167,305,171,1245,248,1905,624,1721,512,220,1128,154,1830,992,0,239,No video,No video,No video,3315,409,0,338,0,633,0,35,41,193,435,757,757,2017,724,1432,2383,0,347,520,0,43,772,0,0,29,0,1398,0,39,16,20,696,439,114,95,1435,137,1951,563,1496,537,12,No video,No video,No video,No video,5,0,398,0,228,0,91,0,505,1015,0,197,35,124,630,860,716,820,36,118,1030,567,8,22,No video,975,69,51,388,0,52,0,517,44,181,901,0,100,2313,43,1370,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,39,0,63,0,83,0,160,149,1169,34,63,288,59,24,2123,167,7,561,922,0,5,90,225,1338,0,92,0,24,26,450,0,28,265,1014,0,24,243,100,1123,1854,476,No video,No video,123,89,0,33,0,788,388,0,31,0,50,129,0,271,0,6,8,164,1589,18,1122,1306,85,No video,No video,505,0,28,3,0,16,97,1263,1,0,115,133,16,1252,112,1,18,140,1,494,1294
cam_6394836,0,10,469,0,35,3,469,34,528,1614,5398,5057,4483,4650,3626,4433,315,40,4650,1769,683,0,50,0,No video,0,126,347,0,8,1,0,1663,287,5612,5454,3956,3021,943,1771,2024,124,1800,2855,907,17,57,63,0,No video,No video,0,57,17,19,212,1351,4715,4215,3031,2475,190,4238,3641,639,1201,2219,2137,0,365,340,0,81,56,0,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,177,0,0,0,0,10,0,64,15,1010,353,824,913,351,1336,239,534,727,676,201,16,192,390,32,No video,No video,No video,932,277,0,91,0,10,18,16,233,0,216,365,742,445,38,33,353,66,0,120,0,28,0,209,16,0,11,128,165,0,1,38,99,0,49,191,450,493,205,190,56,14,118,No video,No video,No video,No video,34,0,0,0,2,0,3,154,0,3,0,8,0,14,197,41,302,0,0,0,0,5,0,23,No video,0,10,0,0,39,7,1,0,11,22,68,50,0,26,121,6,12,210,8,No video,No video,No video,No video,No video,No video,No video,45,1,12,0,0,0,0,0,5,6,69,0,24,48,286,0,53,6,0,0,27,63,0,0,2,0,8,0,0,0,134,0,3,0,0,167,1,68,210,26,0,No video,No video,0,6,0,0,4,0,42,2,0,213,0,0,9,0,0,0,36,12,34,202,50,0,176,No video,No video,0,281,53,0,0,17,0,0,0,25,84,247,0,0,14,57,0,48,215,0,16
cam_6394837,0,60,0,765,60,0,949,0,967,625,2536,2413,2674,3896,3740,1409,288,1164,2531,1879,1066,0,270,0,No video,0,506,131,22,47,1,727,0,675,2834,3790,2260,3170,2961,1126,4,2285,892,2254,2127,75,0,0,407,No video,No video,105,0,787,0,0,932,2664,3075,2421,5638,3127,2733,1076,996,2288,2480,1307,0,14,488,291,0,746,0,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,911,0,38,95,512,0,20,304,373,824,787,1899,661,2440,767,340,1559,1448,1102,56,763,141,1690,431,No video,No video,No video,3330,1865,547,0,734,57,51,29,254,118,94,2557,2130,475,1267,588,26,136,957,1130,0,33,1112,0,53,0,0,1761,104,121,548,101,42,459,83,220,883,588,2704,1510,364,409,282,No video,No video,No video,No video,67,0,113,0,0,326,0,0,11,44,161,0,89,168,597,121,712,32,297,48,103,56,715,54,No video,19,30,0,247,0,165,79,0,48,41,269,0,250,646,107,575,41,41,192,No video,No video,No video,No video,No video,No video,No video,18,0,186,0,286,0,31,76,0,358,11,62,667,512,24,103,294,79,21,72,129,610,132,25,57,8,27,0,365,281,0,6,299,0,45,31,169,432,61,27,61,No video,No video,93,717,328,0,43,94,0,407,0,135,0,524,207,50,0,51,311,0,37,606,13,802,19,No video,No video,0,17,21,584,557,0,21,780,0,34,520,0,211,0,367,12,29,140,291,54,12
cam_6394841,0,631,1029,557,48,238,605,6,929,1049,8626,12062,7657,13203,12937,10917,456,2360,5224,7784,1508,114,1929,4,No video,472,369,29,257,0,166,1046,725,1499,6894,11493,8041,5276,5566,1342,1882,2496,3678,5492,6061,5179,0,2313,433,No video,No video,616,145,190,92,125,984,5865,7632,5908,3995,864,4654,3691,1511,4518,6527,6111,0,136,1753,9,38,251,811,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,1304,82,0,4199,1437,61,121,0,466,810,799,2334,2336,2266,2278,1284,2109,1551,807,2320,558,738,663,427,No video,No video,No video,4677,1744,90,790,0,76,360,182,0,24,1775,1003,2940,2479,2910,2962,281,503,255,79,718,0,184,342,478,30,101,0,2185,47,118,86,29,812,50,105,1295,1297,1632,1447,1851,328,233,No video,No video,No video,No video,6,8,26,7,10,66,582,0,24,0,49,2,6,2,245,562,1107,576,36,108,92,15,5,462,No video,21,16,28,48,0,54,62,91,457,15,0,13,17,123,411,788,976,829,227,No video,No video,No video,No video,No video,No video,No video,34,19,178,0,18,29,4,133,0,22,13,25,55,44,1632,894,707,658,23,34,205,572,0,16,389,4,4,50,222,40,0,271,38,11,38,61,43,34,851,613,4,No video,No video,27,208,0,0,120,0,38,29,195,0,64,6,98,835,74,24,0,0,7,20,5,677,368,No video,No video,688,77,28,188,16,4,8,19,1076,0,36,6,0,18,58,538,73,2337,24,61,0
cam_6394839,0,10,38,282,0,0,358,2,99,2394,4032,3941,6064,4747,3933,7512,0,739,1999,3290,87,34,0,209,No video,125,4,293,0,0,284,473,0,2668,6601,4983,4152,3964,7116,89,2505,1184,2520,2142,2796,0,0,120,0,No video,No video,4,4,442,182,455,4428,5362,3236,2934,3034,13841,1408,1143,1202,1608,3948,4487,56,0,189,0,0,37,0,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,0,1,0,0,142,0,0,0,349,229,359,213,979,679,462,225,60,535,0,652,33,71,525,46,No video,No video,No video,1934,807,0,109,15,0,97,41,0,157,557,819,642,1071,610,707,8,139,9,77,0,699,107,0,0,6,43,0,255,165,14,7,142,467,5,435,505,901,723,25,882,39,104,No video,No video,No video,No video,0,19,0,30,0,16,0,5,999,0,1,0,22,215,598,694,744,45,57,757,0,8,266,0,No video,1,298,319,0,57,0,23,575,26,26,7,20,102,905,964,628,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,0,10,69,474,97,0,0,456,0,28,75,150,880,1263,2539,259,632,71,619,334,9,20,0,0,0,430,0,0,0,28,232,0,0,44,200,715,1172,625,1282,1076,438,No video,No video,21,34,0,5,22,0,520,0,5,29,348,0,79,27,0,59,132,301,377,1364,1036,292,137,No video,No video,1533,69,0,9,309,375,3,9,491,113,186,503,56,116,0,430,205,38,809,1450,34
cam_6394840,337,25,247,0,32,516,6,26,1698,1953,3745,4513,4386,4265,1140,22,1023,44,1126,1493,563,600,3,0,No video,0,94,1808,0,8,0,29,384,939,2251,2576,2637,1533,84,8468,167,3,372,1696,1644,116,0,121,0,No video,No video,0,0,56,125,305,1151,1736,1923,1745,3363,2988,2085,844,330,864,1369,2023,68,26,0,750,120,19,0,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,154,0,0,63,0,0,27,0,154,343,902,430,409,822,1472,616,467,1392,211,359,639,74,22,1029,No video,No video,No video,6081,1521,0,134,1453,0,3,325,540,663,1416,2275,2625,3777,1215,2221,1309,116,65,1059,0,1408,23,283,179,293,541,87,145,1095,0,64,382,203,1360,371,2387,2511,1436,2949,4077,1549,236,No video,No video,No video,No video,0,110,138,140,48,177,972,704,0,23,79,0,277,888,1755,3157,1928,2828,130,14,49,639,0,86,No video,2416,84,11218,40,0,80,43,3267,66,151,0,97,559,375,2078,2810,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,2520,62,101,545,2299,93,87,196,113,780,1628,306,6675,2619,1997,365,2341,1053,0,429,197,160,1100,1791,251,1367,155,7840,232,933,3997,34,123,698,864,2791,1044,234,4971,2127,1719,No video,No video,776,199,235,168,317,711,2207,0,1694,896,646,1163,34,1738,141,87,67,0,235,697,9,1923,760,No video,No video,517,1784,975,2144,14,48,8,246,2196,347,340,815,33,173,15,75,1,150,92,1896,57
cam_6394846,173,23,0,504,32,31,25,50,1348,878,2023,4382,2789,1953,859,1167,157,297,2868,1841,699,3,106,0,No video,101,0,20,0,295,0,79,20,727,1637,2237,4876,8345,2264,8,411,704,1272,2712,353,253,1,265,78,No video,No video,110,39,102,227,45,530,2790,3920,4244,1638,2110,775,1352,8277,821,2128,2259,39,210,0,277,0,112,0,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,27,0,11,14,27,34,27,18,9,18,127,68,205,825,522,577,117,729,444,134,270,149,377,207,No video,No video,No video,4724,1540,42,215,55,30,2,176,873,151,73,580,1542,1608,335,149,285,91,1608,0,68,33,508,0,66,77,573,242,0,736,0,156,0,156,244,1183,1220,1531,196,653,125,870,0,No video,No video,No video,No video,74,0,110,86,36,0,241,0,0,77,18,139,79,241,576,278,447,52,97,845,469,103,5,133,No video,32,95,0,106,283,0,30,0,68,63,681,25,86,502,1170,462,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,No video,350,8,119,221,23,38,169,117,4236,2304,58,107,1369,19699,3361,183,51,1513,562,58,708,887,0,38,19,82,1128,0,480,0,0,40,3243,235,69,303,1944,266,78,801,No video,No video,294,54,0,230,1,19,12,44,219,1475,0,389,35,0,11,570,19,421,892,312,450,59,360,No video,No video,45,677,0,573,895,0,37,407,272,1283,0,412,50,34,0,232,59,68,77,1514,48
